,City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
154,Ilulissat,69.22,15.8,47.0,0.0,9.17
155,Alcudia,39.85,62.71,72.0,100.0,24.16
156,Pierre,44.37,39.47,93.0,1.0,4.7
157,Northam,51.04,70.99,49.0,0.0,5.82
158,Kuningan,-6.98,69.89,94.0,100.0,3.94
159,Matamoros,25.87,58.93,72.0,1.0,5.82
160,Bulawayo,-20.16,79.43,30.0,0.0,10.92
161,Ancud,-41.87,42.8,100.0,1.0,5.82
162,Havoysund,71.0,42.8,60.0,75.0,20.8
163,Saint-Pierre,48.95,75.67,33.0,0.0,12.75
164,Shieli,44.18,58.19,39.0,100.0,16.49
165,New Norfolk,-42.78,44.06,87.0,0.0,3.36
166,Torbay,47.66,40.32,48.0,90.0,16.11
167,Matadi,-5.83,91.13,57.0,100.0,4.05
168,Senekal,-28.32,77.45,27.0,31.0,8.55
169,Atar,20.52,94.37,10.0,72.0,11.7
170,Severnoye,54.09,41.09,42.0,14.0,7.78
171,Shetpe,44.14,46.49,45.0,73.0,10.78
172,Gazojak,41.19,60.71,37.0,100.0,12.06
173,Key West,47.93,37.65,100.0,1.0,4.7
174,Celestun,20.87,76.91,82.0,33.0,23.35
175,Bathsheba,13.22,82.4,65.0,20.0,24.16
176,Hasaki,35.73,55.71,67.0,75.0,16.11
177,Upernavik,72.79,6.53,64.0,1.0,6.62
178,Salekhard,66.54,18.77,84.0,1.0,6.6
179,Vila Franca Do Campo,37.72,64.4,93.0,75.0,5.82
180,Sapulpa,36.0,51.42,71.0,1.0,8.05
181,Lebu,8.96,77.0,36.0,40.0,12.75
182,Road Town,18.42,80.87,65.0,40.0,12.75
183,Coquimbo,-29.95,57.2,82.0,90.0,5.82
184,Comodoro Rivadavia,-45.87,57.2,47.0,0.0,17.22
185,Thompson,55.74,33.8,91.0,90.0,5.82
186,Ayagoz,47.96,47.39,69.0,100.0,5.66
187,Shahreza,32.01,57.29,37.0,0.0,34.83
188,Mahajanga,-15.72,91.4,55.0,20.0,6.93
189,Bonfim,-20.33,79.43,42.0,0.0,5.82
190,Warrnambool,-38.38,57.99,76.0,77.0,3.0
191,Maniwaki,46.38,37.49,91.0,100.0,9.73
192,Kieta,-6.22,83.03,73.0,100.0,6.22
193,Pudozh,61.81,41.99,98.0,100.0,4.0
195,Codrington,-28.95,68.23,93.0,75.0,5.82
196,Narsaq,60.91,37.67,45.0,0.0,12.77
197,Mitocu Dragomirnei,47.72,54.39,50.0,40.0,13.87
199,Cidreira,-30.17,76.55,55.0,5.0,6.82
200,Mannargudi,10.67,88.61,59.0,65.0,12.93
201,Mahibadhoo,3.78,85.19,70.0,96.0,9.44
202,Nome,30.04,58.41,67.0,1.0,8.05
203,Cerignola,41.26,65.62,55.0,40.0,5.82
204,Bonavista,48.65,41.0,62.0,100.0,8.99
205,Kamenka,53.19,47.03,28.0,0.0,5.06
206,San Quintin,17.54,79.79,80.0,0.0,1.61
208,Turbiv,49.34,53.6,58.0,40.0,15.66
209,Tongliao,43.61,54.77,13.0,99.0,14.27
211,Vyazemskiy,47.53,34.97,55.0,22.0,7.2
212,Chuy,-33.69,71.33,66.0,94.0,8.39
215,Kenai,60.55,32.18,55.0,90.0,9.17
216,Constitucion,23.99,44.11,51.0,5.0,2.24
217,Xique-Xique,-10.82,84.65,68.0,87.0,5.19
218,La Ronge,55.1,42.8,88.0,90.0,3.36
219,Tiksi,71.64,14.63,83.0,67.0,9.1
220,Padang,-0.92,82.4,88.0,40.0,2.24
221,Yamada,36.58,50.59,66.0,75.0,6.93
222,High Prairie,55.43,42.53,51.0,78.0,14.97
223,Kodiak,39.95,45.63,58.0,1.0,11.41
224,Podbrdo,46.21,65.97,32.0,20.0,3.36
226,Craig,40.52,33.1,86.0,1.0,3.62
227,Acapulco,16.86,73.4,88.0,5.0,5.82
228,Ketchikan,55.34,39.2,93.0,90.0,3.36
230,Port Macquarie,-31.43,65.5,100.0,75.0,3.36
231,Colwyn Bay,53.29,70.66,42.0,0.0,5.82
233,Jinka,5.79,80.33,45.0,98.0,2.46
234,Norman Wells,65.28,26.6,86.0,90.0,9.17
236,Zhigansk,66.77,12.83,83.0,1.0,7.23
237,Sayyan,15.17,75.47,56.0,84.0,6.62
238,Pevek,69.7,13.55,93.0,100.0,12.19
239,De-Kastri,51.48,35.33,98.0,100.0,2.44
240,Palmer,-34.85,76.86,29.0,0.0,10.29
241,Anadyr,64.73,8.29,84.0,0.0,6.71
242,Abu Dhabi,24.47,101.03,16.0,0.0,6.93
243,Airai,-8.93,74.39,76.0,10.0,5.88
244,Lujan,-46.57,58.01,43.0,60.0,18.77
245,Chokurdakh,70.62,1.49,84.0,0.0,5.57
246,Pano Aqil,27.86,98.6,30.0,0.0,11.41
247,North Bend,43.41,52.57,93.0,90.0,5.82
249,Aitape,-3.15,78.35,83.0,46.0,3.27
250,Severo-Kurilsk,50.68,34.43,90.0,1.0,23.15
251,Campo Grande,-20.46,82.4,65.0,75.0,11.41
252,Atuona,-9.8,83.21,73.0,18.0,9.48
253,Ryabovo,60.34,55.0,64.0,98.0,25.99
254,Balotra,25.83,91.31,18.0,0.0,5.46
255,Murgab,37.5,71.6,53.0,75.0,16.11
256,Igrim,63.19,31.37,77.0,31.0,5.35
257,Knysna,-34.04,71.6,56.0,0.0,10.29
258,Alofi,-19.06,77.0,73.0,75.0,19.46
259,Beruwala,6.48,86.99,68.0,100.0,6.33
260,Tadine,-21.55,77.45,81.0,6.0,24.87
261,Yanam,16.73,89.6,52.0,40.0,12.75
262,Ternate,14.29,85.32,66.0,20.0,6.93
263,Dunda,30.62,82.4,39.0,40.0,4.7
264,Seydi,13.34,102.2,6.0,0.0,6.93
266,Vila,45.18,69.35,42.0,20.0,8.05
268,Rio Hato,8.38,80.24,74.0,100.0,3.36
269,Souillac,45.6,78.22,31.0,0.0,11.41
270,Saint-Paul,45.22,71.46,30.0,0.0,14.99
271,Khovu-Aksy,51.13,28.85,22.0,18.0,5.7
272,Lengshuitan,26.41,74.57,88.0,100.0,3.47
273,Joshimath,30.57,44.69,37.0,23.0,5.06
274,Tura,25.52,81.77,41.0,0.0,5.12
276,Ialibu,-6.28,63.59,99.0,67.0,2.1
278,Robertsport,6.75,89.33,61.0,100.0,8.25
279,Moba,-7.04,74.03,70.0,46.0,3.8
280,Puerto Del Rosario,28.5,70.81,60.0,75.0,18.34
281,Lompoc,34.64,51.8,100.0,90.0,6.58
282,Hami,42.84,68.45,18.0,0.0,1.9
284,Beira,43.2,63.52,68.0,20.0,3.36
285,Barabai,-2.59,76.37,95.0,100.0,1.16
286,Vao,59.1,55.67,38.0,70.0,6.4
287,Fort Nelson,58.81,28.4,74.0,40.0,2.24
289,Kavaratti,10.57,84.47,73.0,69.0,13.13
290,Ulagan,50.63,22.91,56.0,98.0,0.4
291,Hobyo,5.35,84.83,68.0,6.0,11.34
293,San Jose,15.79,81.77,81.0,6.0,3.87
294,Rocca Priora,41.79,68.49,34.0,20.0,8.05
295,Langenzersdorf,48.31,71.15,30.0,0.0,4.7
296,Pingliang,35.54,48.99,66.0,100.0,6.76
297,Kedrovyy,56.17,32.0,76.0,0.0,11.18
298,Yellowknife,62.45,26.28,92.0,90.0,11.41
299,Ponta Do Sol,-20.63,76.91,53.0,0.0,3.13
300,Nicoya,10.15,80.6,65.0,0.0,3.36
301,Nhulunbuy,-12.18,77.0,88.0,8.0,4.7
302,Jumla,29.28,39.83,72.0,1.0,1.7
303,Boende,-0.28,82.31,69.0,100.0,3.67
304,Mumford,5.26,93.29,48.0,100.0,9.24
305,Slave Lake,55.28,42.8,63.0,20.0,16.11
306,Arecibo,18.47,81.45,61.0,1.0,12.75
307,Castro,-42.48,42.8,100.0,100.0,5.82
308,Saskylakh,71.97,-2.83,94.0,43.0,3.98
309,Clyde River,70.47,-7.61,69.0,1.0,5.82
310,Tuatapere,-46.13,52.0,95.0,100.0,3.89
312,Yabassi,4.46,99.05,28.0,93.0,3.74
313,Mujiayingzi,42.12,47.03,44.0,100.0,13.13
316,Rapar,23.57,90.59,22.0,0.0,3.27
317,Chippewa Falls,44.94,35.6,100.0,1.0,5.86
318,Santa Barbara,34.42,54.14,100.0,90.0,0.47
319,Tautira,-17.73,78.35,65.0,20.0,3.36
320,Can,46.08,69.62,46.0,20.0,9.17
321,San Carlos De Bariloche,-41.13,44.6,43.0,0.0,3.36
322,Rosario,-34.31,70.93,68.0,20.0,9.17
323,Izvestkovyy,48.98,26.51,57.0,0.0,4.7
324,Khani,41.96,50.0,93.0,90.0,17.22
325,Te Anau,-45.41,46.85,93.0,100.0,3.38
326,Socorro,13.06,78.01,86.0,1.0,3.67
328,Evensk,61.92,27.77,87.0,65.0,1.3
329,Dubbo,-32.25,66.2,68.0,0.0,10.29
331,Daitari,21.11,85.19,51.0,0.0,7.43
332,Rozvadiv,49.5,60.91,23.0,0.0,13.42
333,Georgetown,6.8,83.25,70.0,75.0,16.11
334,Katsuura,33.93,56.39,71.0,75.0,3.36
335,Manono,-7.3,90.77,45.0,32.0,5.5
336,Beyneu,45.32,46.67,51.0,58.0,8.5
337,Dunedin,-45.87,53.01,86.0,99.0,7.0
338,Sawankhalok,17.31,98.42,34.0,0.0,5.01
339,Moyale,3.52,79.43,68.0,100.0,8.01
340,Mount Gambier,-37.83,64.4,42.0,75.0,8.05
341,Suhbaatar,50.23,24.89,40.0,0.0,1.68
342,Roald,62.58,60.37,50.0,0.0,10.29
343,Pontianak,-0.02,80.6,88.0,75.0,3.36
344,Cabedelo,-6.97,84.2,74.0,40.0,6.93
346,Mandalgovi,45.76,36.77,14.0,88.0,24.61
347,Amposta,40.71,63.19,37.0,0.0,17.22
348,Baculin,7.45,72.05,85.0,21.0,2.84
349,Althofen,46.87,63.64,36.0,20.0,2.24
350,Guerrero Negro,27.97,63.23,73.0,97.0,11.81
351,Kathu,-27.7,88.0,28.0,88.0,3.0
352,Yelan-Kolenovskiy,51.16,50.27,29.0,73.0,3.53
353,Kulaman,6.46,81.05,78.0,21.0,2.64
354,Yuli,10.52,104.45,6.0,15.0,5.19
356,Pangai,-19.8,78.8,78.0,75.0,20.8
357,Bethel,60.79,18.05,85.0,1.0,4.7
359,Vagur,61.47,48.29,89.0,95.0,21.5
360,Idritsa,56.33,58.55,34.0,37.0,4.79
361,Lanxi,29.21,65.21,80.0,4.0,4.32
362,Cotonou,6.37,84.2,94.0,40.0,5.82
363,San Carlos,9.66,90.77,47.0,91.0,3.47
364,Orodara,10.98,93.2,49.0,0.0,9.17
365,Rocha,-34.48,76.19,50.0,98.0,7.96
366,Makakilo City,21.35,71.94,82.0,75.0,3.36
368,Tocopilla,-22.09,62.87,98.0,86.0,17.54
369,Saldanha,41.42,65.03,52.0,95.0,17.76
370,Lensk,60.71,22.73,84.0,100.0,6.78
372,Aldan,58.61,25.43,90.0,100.0,5.28
373,Sur,22.57,89.33,28.0,0.0,5.59
374,Vestmanna,62.16,55.4,71.0,53.0,17.22
376,Ulladulla,-35.36,54.55,100.0,53.0,4.7
378,Normal,40.51,43.54,81.0,90.0,19.46
379,Anse-Bertrand,16.47,82.4,58.0,20.0,16.11
380,Port Lincoln,-34.72,76.37,43.0,13.0,20.71
381,Inhambane,-23.87,82.4,61.0,40.0,9.17
382,Cangzhou,38.3,57.11,24.0,87.0,6.87
383,Wajir,1.75,98.6,35.0,75.0,5.82
384,Takaka,-40.86,52.65,82.0,98.0,1.99
385,Havre-Saint-Pierre,50.23,33.8,99.0,90.0,6.93
386,Coolum Beach,-26.53,68.47,94.0,55.0,1.01
387,Dalmeny,52.34,49.46,49.0,75.0,10.29
388,Cortes,9.28,80.51,73.0,1.0,5.57
390,Wagar,31.44,52.93,85.0,100.0,1.99
391,Mehamn,71.03,42.8,70.0,0.0,10.29
392,Whitefish,48.41,45.73,75.0,90.0,8.05
393,Colesberg,-30.72,78.17,10.0,90.0,17.45
394,Ajdabiya,30.75,65.57,63.0,0.0,17.25
395,Derzhavinsk,51.1,31.55,77.0,100.0,16.91
396,Inuvik,68.36,10.4,92.0,90.0,3.36
397,Nha Trang,12.24,87.8,70.0,20.0,13.87
399,Tezu,27.93,72.41,50.0,52.0,4.97
400,Misratah,32.38,64.13,71.0,10.0,19.22
401,Port Hueneme,34.15,55.22,93.0,90.0,4.7
402,Saint-Augustin,44.83,77.4,31.0,0.0,19.46
404,Shakhtinsk,49.71,28.4,92.0,90.0,22.37
405,Savinka,50.08,48.11,38.0,0.0,5.55
406,Huilong,28.89,66.11,88.0,98.0,5.28
407,Madingou,-4.17,90.41,56.0,74.0,3.15
408,Nueva Helvecia,-34.28,70.88,68.0,20.0,9.17
409,Mogadishu,2.04,89.6,62.0,20.0,11.41
410,Solnechnyy,50.72,27.77,88.0,99.0,9.04
411,Dingle,11.0,78.53,71.0,37.0,6.35
412,Boyolangu,-8.09,73.85,91.0,82.0,3.18
413,Teahupoo,-17.83,78.35,65.0,20.0,3.36
414,Amatitan,20.83,51.8,28.0,5.0,5.82
415,Abashiri,44.01,37.99,67.0,99.0,1.01
416,Jinchang,38.52,48.83,53.0,100.0,9.73
417,Cockburn Town,21.46,78.53,74.0,8.0,20.65
418,Chenghai,23.46,69.8,100.0,90.0,6.71
419,Kholodnyy,62.72,19.85,98.0,100.0,3.91
420,Mitsamiouli,-11.38,86.0,74.0,40.0,13.87
421,Najran,17.54,95.0,21.0,40.0,5.82
423,Grindavik,63.84,49.15,93.0,90.0,29.97
424,Alexandria,31.31,53.47,81.0,75.0,4.7
425,Kupang,-10.16,78.8,78.0,20.0,11.41
426,Gumdag,39.2,54.41,55.0,77.0,9.06
427,Isangel,-19.55,78.8,83.0,75.0,22.15
428,Vardo,39.62,67.86,64.0,75.0,14.99
429,Tiarei,-17.53,78.37,65.0,20.0,3.36
430,Ipua,-20.44,80.51,53.0,0.0,1.14
431,Benguela,-12.58,81.41,82.0,48.0,13.15
432,Dakar,14.69,81.05,69.0,0.0,16.11
433,Athabasca,54.72,43.61,67.0,100.0,11.83
435,Ceres,-29.88,77.09,64.0,100.0,4.99
436,Saint-Leu,-21.15,79.97,66.0,0.0,4.7
437,Juazeiro,-9.43,86.0,62.0,75.0,3.36
438,Touros,-5.2,83.93,74.0,100.0,11.05
439,Los Llanos De Aridane,28.66,66.18,53.0,20.0,16.11
440,Loiza,18.43,81.27,58.0,20.0,16.11
441,Rocky Mountain House,52.38,40.91,74.0,76.0,9.46
442,Goderich,43.74,37.87,89.0,100.0,1.01
443,Dali,25.6,55.85,41.0,0.0,4.47
444,Cap Malheureux,-19.98,80.78,69.0,40.0,4.7
445,Waingapu,-9.65,74.57,86.0,0.0,8.12
446,Moose Factory,51.26,28.4,100.0,90.0,10.29
447,Conceicao Do Almeida,-12.78,83.39,69.0,89.0,3.4
449,Paraiso,24.01,44.33,51.0,5.0,2.24
450,Bolobo,-2.17,89.33,53.0,100.0,5.37
451,Seaforth,-20.9,69.08,94.0,40.0,6.93
452,Tsumeb,-19.25,87.8,15.0,20.0,16.11
453,Kununurra,-15.77,78.8,74.0,3.0,6.58
454,Nantucket,41.28,58.12,87.0,75.0,18.34
455,Aklavik,68.22,10.4,92.0,90.0,3.36
457,Rincon,32.3,74.73,83.0,90.0,24.16
458,Kharan,28.58,87.89,14.0,0.0,5.12
459,Przhevalskoye,55.51,54.95,36.0,0.0,4.18
460,Parakou,9.34,109.85,15.0,100.0,1.68
461,Brejo,-3.68,85.19,75.0,100.0,7.02
462,Puerto Suarez,-18.96,85.12,79.0,16.0,7.14
463,Almaznyy,48.03,50.0,29.0,0.0,20.13
464,Plyussa,58.42,58.01,38.0,59.0,9.13
465,Morondava,-20.3,82.31,83.0,0.0,13.96
466,Yulara,-25.24,66.2,19.0,66.0,4.7
467,Banda Aceh,5.56,85.91,69.0,98.0,6.42
468,Emba,34.81,65.89,40.0,20.0,20.8
469,Waipawa,-39.94,39.99,93.0,3.0,1.99
470,Russell,-33.01,64.4,68.0,40.0,4.7
471,Cam Ranh,11.92,87.8,70.0,20.0,13.87
472,Durango,37.28,35.62,63.0,1.0,3.02
473,Aswan,24.09,86.0,15.0,0.0,12.75
474,Manggar,-2.88,78.89,90.0,100.0,1.39
476,Hualmay,-11.1,68.27,93.0,100.0,9.62
477,Sringeri,13.43,87.8,70.0,20.0,6.93
478,Santa Luzia,-19.77,77.05,64.0,0.0,3.36
479,Bad Freienwalde,52.79,72.57,31.0,0.0,10.29
480,College,64.86,27.05,86.0,90.0,3.36
481,Nuuk,64.17,24.4,58.0,0.0,13.87
482,Ierapetra,35.01,58.42,58.0,40.0,23.04
483,Saint George,39.45,64.27,48.0,40.0,5.82
484,Olinda,-2.03,79.12,74.0,75.0,5.82
485,Lorengau,-2.02,76.91,92.0,97.0,2.46
486,Maceio,-9.67,86.0,58.0,40.0,9.17
487,Sao Filipe,14.9,71.33,86.0,0.0,21.14
488,Korem,12.51,64.67,74.0,100.0,7.16
489,Kosovo Polje,43.8,55.4,43.0,40.0,10.29
490,Sitka,37.17,51.89,44.0,0.0,10.22
491,Inirida,3.87,82.13,79.0,100.0,2.08
492,Limbang,4.75,79.3,100.0,75.0,5.82
493,Aksarka,66.56,19.49,90.0,92.0,5.48
494,Santa Lucia,39.93,63.41,72.0,20.0,8.05
495,Kodinsk,58.6,21.47,75.0,99.0,12.95
496,Nabire,-3.36,70.97,99.0,100.0,1.95
497,General Roca,-39.03,55.4,66.0,0.0,5.82
498,Voznesenye,61.02,46.31,80.0,90.0,6.96
499,Saint-Dizier,48.64,76.26,29.0,0.0,4.7
500,Muzhi,65.4,25.07,81.0,56.0,10.83
501,Thinadhoo,0.53,85.91,73.0,100.0,14.09
502,Labuhan,-2.54,75.83,93.0,99.0,2.75
503,Itanagar,27.1,73.13,66.0,0.0,3.15
504,Port-Gentil,-0.72,89.6,75.0,40.0,12.75
505,Kruisfontein,-34.0,74.39,47.0,100.0,9.46
506,Crib Point,-38.35,55.87,88.0,35.0,6.58
507,Adrar,27.87,91.4,10.0,0.0,24.16
508,Temir,49.14,40.55,29.0,0.0,9.73
509,Atherton,53.52,70.75,40.0,0.0,3.36
510,Sobolevo,54.43,52.79,38.0,90.0,2.33
511,Cotusca,48.13,54.54,50.0,40.0,13.87
512,Port Hardy,50.7,41.0,100.0,90.0,6.93
513,Alice Springs,-23.7,69.8,32.0,9.0,6.93
514,San Ignacio,-36.8,51.89,100.0,90.0,4.7
515,Visnes,59.36,60.4,65.0,0.0,9.17
516,Cap-Aux-Meules,47.38,35.6,93.0,90.0,24.16
517,Ovruch,51.33,55.49,37.0,75.0,8.77
518,Hillsborough,37.57,51.84,82.0,1.0,2.89
519,Okhotsk,59.36,30.47,96.0,100.0,15.05
520,Corinto,-18.36,85.91,53.0,0.0,1.59
521,Dale,24.09,78.89,85.0,0.0,4.05
523,Accra,5.56,87.8,74.0,20.0,12.75
524,Milledgeville,33.08,71.06,83.0,90.0,10.29
525,Chapais,49.78,35.6,85.0,90.0,10.29
526,Matara,-13.74,51.8,62.0,75.0,5.75
528,Bartica,6.41,82.4,83.0,75.0,9.17
529,Teruel,40.34,53.08,87.0,90.0,10.29
530,Kasongo-Lunda,-6.48,88.97,41.0,82.0,4.09
531,Ornes,49.25,72.95,37.0,0.0,8.05
532,Shelburne,44.08,43.41,100.0,90.0,6.93
533,Coxim,-18.5,91.13,50.0,0.0,4.23
534,Batemans Bay,-35.71,53.44,89.0,3.0,1.01
535,Thessalon,46.26,38.46,86.0,1.0,5.82
536,Yuci,37.68,55.4,20.0,0.0,8.95
